formato,n,ram_media_mib,ram_mediana_mib,ram_desv_std_mib,ram_min_mib,ram_max_mib,rss_promedio_mib
base,30,401.03,404.69,28.74,337.95,448.47,126.17
tiny,30,268.47,275.36,30.90,194.02,314.29,112.64
q8_0,30,329.70,333.31,24.80,282.96,383.90,112.57
q5_1,30,313.21,318.46,29.98,235.96,353.12,114.69
q4_0,30,296.25,296.30,19.39,264.81,336.98,113.21
