formato,audio,repeticion,baseline_kib,min_available_kib,delta_ram_kib,delta_ram_mib,rss_kib,rss_mib
q8_0,test2.wav,3,12889180,12544216,344964,336.88,115208,112.51
q8_0,test3.wav,3,12839812,12498172,341640,333.63,115712,113.00
q8_0,test4.wav,3,12816248,12526492,289756,282.96,115712,113.00
q8_0,test5.wav,3,12879942,12522146,357796,349.41,115236,112.54
q8_0,test6.wav,3,12846978,12525920,321058,313.53,115012,112.32
q8_0,test7.wav,3,12780010,12458469,321541,314.00,115360,112.66
q8_0,test8.wav,3,12728214,12405902,322312,314.76,115168,112.47
q8_0,test9.wav,3,12837916,12514783,323133,315.56,115452,112.75
q8_0,test10.wav,3,12892408,12541980,350428,342.21,115144,112.45
q5_1,test1.wav,1,12951552,12632243,319309,311.83,117852,115.09
q5_1,test2.wav,1,12934492,12597376,337116,329.21,118096,115.33
q5_1,test3.wav,1,12925862,12617456,308406,301.18,117796,115.04
q5_1,test4.wav,1,12930436,12592564,337872,329.95,117504,114.75
q5_1,test5.wav,1,12940072,12597982,342090,334.07,118168,115.40
q5_1,test6.wav,1,12961096,12618269,342827,334.79,118032,115.27
q5_1,test7.wav,1,12926124,12564528,361596,353.12,116188,113.46
q5_1,test8.wav,1,12870674,12587507,283167,276.53,117316,114.57
q5_1,test9.wav,1,12924312,12605867,318445,310.98,116300,113.57
q5_1,test10.wav,1,12932840,12605808,327032,319.37,117768,115.01
q5_1,test1.wav,2,12936398,12601470,334928,327.08,118076,115.31
q5_1,test2.wav,2,12933692,12608528,325164,317.54,117712,114.95
q5_1,test3.wav,2,12964212,12616903,347309,339.17,118040,115.27
q5_1,test4.wav,2,12972284,12628156,344128,336.06,117088,114.34
q5_1,test5.wav,2,12930920,12572260,358660,350.25,117896,115.13
q5_1,test6.wav,2,12813028,12571408,241620,235.96,117756,115.00
q5_1,test7.wav,2,12795848,12481996,313852,306.50,117100,114.36
q5_1,test8.wav,2,12792018,12532456,259562,253.48,116456,113.73
q5_1,test9.wav,2,12814432,12553320,261112,254.99,116444,113.71
q5_1,test10.wav,2,12832160,12496939,335221,327.36,117572,114.82
q5_1,test1.wav,3,12867062,12569604,297458,290.49,117708,114.95
