formato,bloques,tensores_cuantizados,d_promedio,d_min,d_max
q8_0,2206096,97,4.9321476881e-04,1.4841556549e-05,7.6751708984e-03
q5_1,2206096,97,3.1205985955e-03,1.1050701141e-04,3.3538818359e-02
q4_0,2206096,97,7.8298080519e-03,2.3555755615e-04,1.2182617188e-01
