formato,bloques,tensores_cuantizados,d_min,d_max,d_promedio,d_mediana
q8_0,2206096,97,1.4841556549e-05,7.6751708984e-03,4.9321476881e-04,4.5013427734e-04
q5_1,2206096,97,1.1050701141e-04,3.3538818359e-02,3.1205985955e-03,2.8991699219e-03
q4_0,2206096,97,2.3555755615e-04,1.2182617188e-01,7.8298080519e-03,7.1449279785e-03
